0,12,none
1,14,0
2,22,1:0
3,11,none
4,9,none
5,23,1:4
6,11,3
7,19,none
8,26,6
9,21,none
10,30,2
11,19,8
12,10,none
13,30,1:6
14,5,2
15,19,6:0
16,28,4
17,30,13
18,25,6
19,25,14
20,25,14
21,16,9
22,18,3
23,18,0
24,23,7
25,10,none
26,25,21
27,21,none
28,8,11
29,21,25
30,27,none
31,9,none
32,20,8
33,5,none
34,21,16:5
35,15,28:4:31
36,19,none
37,29,none
38,20,12:13
39,7,none
40,20,36
41,23,none
42,14,13
43,24,31
44,7,11:33:14
45,12,none
46,28,none
47,30,33:19
48,17,14
49,22,24:20
50,30,30:15:3
51,13,none
52,15,none
53,22,4:38:32
54,29,none
55,10,17
56,19,4:32
57,10,44:19
58,30,none
59,25,35
60,12,23
61,24,0:11:33
62,18,none
63,23,7
64,15,none
65,28,2
66,7,42
67,5,none
68,14,none
69,7,28
70,21,68:54
71,12,13:65
72,8,65
73,6,53
74,27,6:56
75,10,none
76,23,2:68
77,20,13:74
78,13,19
79,9,none
80,18,15
81,24,none
82,24,14:46:50
83,25,40
84,6,69:26:21
85,5,none
86,17,23:76
87,22,29:47
88,22,33
89,13,53
90,8,23:8
91,17,68
92,21,2
93,21,41:16
94,30,2
95,6,19:38
96,7,none
97,12,none
98,26,20
99,20,none
100,10,none
101,14,63
102,8,9:85
103,5,39
104,14,57
105,16,none
106,26,102:57

